reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
81,480.0,0.0,480,480,5.925925925925926,32,32,32,812.0,0.0,812,812,10.024691358024691,5.967078189300412,7
82,512.0,0.0,512,512,6.2439024390243905,32,32,32,822.0,0.0,822,822,10.024390243902438,5.966898954703832,7
83,512.0,0.0,512,512,6.168674698795181,32,32,32,832.0,0.0,832,832,10.024096385542169,5.9667240390131955,7
84,512.0,0.0,512,512,6.095238095238095,32,32,32,842.0,0.0,842,842,10.023809523809524,5.966553287981859,7
85,512.0,0.0,512,512,6.023529411764706,32,32,32,852.0,0.0,852,852,10.023529411764706,5.966386554621849,7
86,512.0,0.0,512,512,5.953488372093023,32,32,32,862.0,0.0,862,862,10.023255813953488,5.966223698781838,7
87,512.0,0.0,512,512,5.885057471264368,32,32,32,872.0,0.0,872,872,10.022988505747126,5.966064586754242,7
88,512.0,0.0,512,512,5.818181818181818,32,32,32,882.0,0.0,882,882,10.022727272727273,5.965909090909091,7
89,512.0,0.0,512,512,5.752808988764045,32,32,32,892.0,0.0,892,892,10.02247191011236,5.9657570893525955,7
90,512.0,0.0,512,512,5.688888888888889,32,32,32,902.0,0.0,902,902,10.022222222222222,5.965608465608465,7
91,544.0,0.0,544,544,5.978021978021978,32,32,32,912.0,0.0,912,912,10.021978021978022,5.965463108320251,7
92,576.0,0.0,576,576,6.260869565217392,32,32,32,922.0,0.0,922,922,10.021739130434783,5.965320910973086,7
93,576.0,0.0,576,576,6.193548387096774,32,32,32,932.0,0.0,932,932,10.021505376344086,5.965181771633384,7
94,544.0,0.0,544,544,5.787234042553192,32,32,32,942.0,0.0,942,942,10.02127659574468,5.965045592705167,7
95,576.0,0.0,576,576,6.063157894736842,32,32,32,952.0,0.0,952,952,10.021052631578947,5.964912280701754,7
96,576.0,0.0,576,576,6.0,32,32,32,962.0,0.0,962,962,10.020833333333334,5.964781746031746,7
97,608.0,0.0,608,608,6.268041237113402,32,32,32,972.0,0.0,972,972,10.02061855670103,5.964653902798233,7
98,576.0,0.0,576,576,5.877551020408164,32,32,32,982.0,0.0,982,982,10.020408163265307,5.964528668610302,7
99,608.0,0.0,608,608,6.141414141414141,32,32,32,992.0,0.0,992,992,10.02020202020202,5.964405964405965,7
100,608.0,0.0,608,608,6.08,32,32,32,1002.0,0.0,1002,1002,10.02,5.964285714285714,7
101,608.0,0.0,608,608,6.01980198019802,32,32,32,1012.0,0.0,1012,1012,10.01980198019802,5.964167845355965,7
102,608.0,0.0,608,608,5.96078431372549,32,32,32,1022.0,0.0,1022,1022,10.019607843137255,5.9640522875816995,7
103,608.0,0.0,608,608,5.902912621359223,32,32,32,1032.0,0.0,1032,1032,10.019417475728156,5.963938973647712,7
104,608.0,0.0,608,608,5.846153846153846,32,32,32,1042.0,0.0,1042,1042,10.01923076923077,5.963827838827839,7
105,640.0,0.0,640,640,6.095238095238095,32,32,32,1052.0,0.0,1052,1052,10.019047619047619,5.963718820861678,7
106,640.0,0.0,640,640,6.037735849056604,32,32,32,1062.0,0.0,1062,1062,10.018867924528301,5.963611859838275,7
107,640.0,0.0,640,640,5.981308411214953,32,32,32,1072.0,0.0,1072,1072,10.018691588785046,5.963506898086337,7
108,640.0,0.0,640,640,5.925925925925926,32,32,32,1082.0,0.0,1082,1082,10.018518518518519,5.963403880070547,7
109,640.0,0.0,640,640,5.871559633027523,32,32,32,1092.0,0.0,1092,1092,10.01834862385321,5.963302752293577,7
110,672.0,0.0,672,672,6.109090909090909,32,32,32,1102.0,0.0,1102,1102,10.018181818181818,5.963203463203463,7
111,672.0,0.0,672,672,6.054054054054054,32,32,32,1112.0,0.0,1112,1112,10.018018018018019,5.9631059631059635,7
112,672.0,0.0,672,672,6.0,32,32,32,1122.0,0.0,1122,1122,10.017857142857142,5.963010204081632,7
113,672.0,0.0,672,672,5.946902654867257,32,32,32,1132.0,0.0,1132,1132,10.017699115044248,5.962916139907291,7
114,672.0,0.0,672,672,5.894736842105263,32,32,32,1142.0,0.0,1142,1142,10.017543859649123,5.962823725981621,7
115,672.0,0.0,672,672,5.843478260869565,32,32,32,1152.0,0.0,1152,1152,10.017391304347827,5.962732919254659,7
116,672.0,0.0,672,672,5.793103448275862,32,32,32,1162.0,0.0,1162,1162,10.017241379310345,5.962643678160919,7
117,704.0,0.0,704,704,6.017094017094017,32,32,32,1172.0,0.0,1172,1172,10.017094017094017,5.962555962555962,7
118,704.0,0.0,704,704,5.966101694915254,32,32,32,1182.0,0.0,1182,1182,10.016949152542374,5.9624697336561745,7
