reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
69,192.0,0.0,192,192,2.782608695652174,32,32,32,278.0,0.0,278,278,4.028985507246377,2.3982056590752245,7
70,160.0,0.0,160,160,2.2857142857142856,32,32,32,282.0,0.0,282,282,4.0285714285714285,2.3979591836734695,7
71,192.0,0.0,192,192,2.704225352112676,32,32,32,286.0,0.0,286,286,4.028169014084507,2.397719651240778,7
72,192.0,0.0,192,192,2.6666666666666665,32,32,32,290.0,0.0,290,290,4.027777777777778,2.3974867724867726,7
73,192.0,0.0,192,192,2.6301369863013697,32,32,32,294.0,0.0,294,294,4.027397260273973,2.397260273972603,7
74,160.0,0.0,160,160,2.1621621621621623,32,32,32,298.0,0.0,298,298,4.027027027027027,2.397039897039897,7
75,192.0,0.0,192,192,2.56,32,32,32,302.0,0.0,302,302,4.026666666666666,2.3968253968253967,7
76,192.0,0.0,192,192,2.526315789473684,32,32,32,306.0,0.0,306,306,4.026315789473684,2.3966165413533833,7
77,160.0,0.0,160,160,2.0779220779220777,32,32,32,310.0,0.0,310,310,4.025974025974026,2.396413110698825,7
78,192.0,0.0,192,192,2.4615384615384617,32,32,32,314.0,0.0,314,314,4.0256410256410255,2.396214896214896,7
79,192.0,0.0,192,192,2.430379746835443,32,32,32,318.0,0.0,318,318,4.025316455696203,2.396021699819168,7
80,160.0,0.0,160,160,2.0,32,32,32,322.0,0.0,322,322,4.025,2.3958333333333335,7
81,192.0,0.0,192,192,2.3703703703703702,32,32,32,326.0,0.0,326,326,4.0246913580246915,2.39564961787184,7
82,192.0,0.0,192,192,2.341463414634146,32,32,32,330.0,0.0,330,330,4.024390243902439,2.3954703832752613,7
83,192.0,0.0,192,192,2.3132530120481927,32,32,32,334.0,0.0,334,334,4.024096385542169,2.3952954675846243,7
84,192.0,0.0,192,192,2.2857142857142856,32,32,32,338.0,0.0,338,338,4.023809523809524,2.395124716553288,7
85,192.0,0.0,192,192,2.2588235294117647,32,32,32,342.0,0.0,342,342,4.023529411764706,2.3949579831932772,7
86,224.0,0.0,224,224,2.604651162790698,32,32,32,346.0,0.0,346,346,4.023255813953488,2.394795127353267,7
