reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
87,224.0,0.0,224,224,2.574712643678161,32,32,32,354.0,0.0,354,354,4.068965517241379,2.4220032840722494,7
88,224.0,0.0,224,224,2.5454545454545454,32,32,32,358.0,0.0,358,358,4.068181818181818,2.4215367965367967,7
89,224.0,0.0,224,224,2.5168539325842696,32,32,32,362.0,0.0,362,362,4.067415730337078,2.4210807918673085,7
90,224.0,0.0,224,224,2.488888888888889,32,32,32,366.0,0.0,366,366,4.066666666666666,2.4206349206349205,7
91,224.0,0.0,224,224,2.4615384615384617,32,32,32,370.0,0.0,370,370,4.065934065934066,2.4201988487702772,7
92,224.0,0.0,224,224,2.4347826086956523,32,32,32,374.0,0.0,374,374,4.065217391304348,2.4197722567287783,7
93,224.0,0.0,224,224,2.4086021505376345,32,32,32,378.0,0.0,378,378,4.064516129032258,2.4193548387096775,7
94,224.0,0.0,224,224,2.382978723404255,32,32,32,382.0,0.0,382,382,4.0638297872340425,2.4189463019250255,7
95,224.0,0.0,224,224,2.357894736842105,32,32,32,386.0,0.0,386,386,4.063157894736842,2.418546365914787,7
96,224.0,0.0,224,224,2.3333333333333335,32,32,32,390.0,0.0,390,390,4.0625,2.418154761904762,7
97,224.0,0.0,224,224,2.3092783505154637,32,32,32,394.0,0.0,394,394,4.061855670103093,2.4177712322042217,7
98,256.0,0.0,256,256,2.6122448979591835,32,32,32,398.0,0.0,398,398,4.061224489795919,2.417395529640428,7
99,224.0,0.0,224,224,2.2626262626262625,32,32,32,402.0,0.0,402,402,4.0606060606060606,2.417027417027417,7
100,256.0,0.0,256,256,2.56,32,32,32,406.0,0.0,406,406,4.06,2.4166666666666665,7
101,256.0,0.0,256,256,2.5346534653465347,32,32,32,410.0,0.0,410,410,4.0594059405940595,2.4163130598774165,7
102,256.0,0.0,256,256,2.5098039215686274,32,32,32,414.0,0.0,414,414,4.0588235294117645,2.4159663865546217,7
103,256.0,0.0,256,256,2.4854368932038833,32,32,32,418.0,0.0,418,418,4.058252427184466,2.4156264447526583,7
104,256.0,0.0,256,256,2.4615384615384617,32,32,32,422.0,0.0,422,422,4.0576923076923075,2.41529304029304,7
105,256.0,0.0,256,256,2.4380952380952383,32,32,32,426.0,0.0,426,426,4.057142857142857,2.4149659863945576,7
106,256.0,0.0,256,256,2.4150943396226414,32,32,32,430.0,0.0,430,430,4.056603773584905,2.4146451033243483,7
107,256.0,0.0,256,256,2.392523364485981,32,32,32,434.0,0.0,434,434,4.05607476635514,2.4143302180685358,7
108,256.0,0.0,256,256,2.3703703703703702,32,32,32,438.0,0.0,438,438,4.055555555555555,2.4140211640211637,7
109,256.0,0.0,256,256,2.3486238532110093,32,32,32,442.0,0.0,442,442,4.055045871559633,2.413717780690258,7
110,256.0,0.0,256,256,2.327272727272727,32,32,32,446.0,0.0,446,446,4.054545454545455,2.4134199134199137,7
111,256.0,0.0,256,256,2.3063063063063063,32,32,32,450.0,0.0,450,450,4.054054054054054,2.4131274131274134,7
112,288.0,0.0,288,288,2.5714285714285716,32,32,32,454.0,0.0,454,454,4.053571428571429,2.412840136054422,7
113,256.0,0.0,256,256,2.265486725663717,32,32,32,458.0,0.0,458,458,4.053097345132743,2.4125579435313944,7
114,288.0,0.0,288,288,2.526315789473684,32,32,32,462.0,0.0,462,462,4.052631578947368,2.4122807017543857,7
115,288.0,0.0,288,288,2.5043478260869567,32,32,32,466.0,0.0,466,466,4.052173913043478,2.412008281573499,7
116,256.0,0.0,256,256,2.206896551724138,32,32,32,470.0,0.0,470,470,4.051724137931035,2.4117405582922826,7
117,288.0,0.0,288,288,2.4615384615384617,32,32,32,474.0,0.0,474,474,4.051282051282051,2.4114774114774113,7
118,256.0,0.0,256,256,2.169491525423729,32,32,32,478.0,0.0,478,478,4.0508474576271185,2.4112187247780468,7
119,288.0,0.0,288,288,2.4201680672268906,32,32,32,482.0,0.0,482,482,4.050420168067227,2.4109643857543017,7
120,288.0,0.0,288,288,2.4,32,32,32,486.0,0.0,486,486,4.05,2.4107142857142856,7
121,288.0,0.0,288,288,2.3801652892561984,32,32,32,490.0,0.0,490,490,4.049586776859504,2.4104683195592287,7
122,288.0,0.0,288,288,2.360655737704918,32,32,32,494.0,0.0,494,494,4.049180327868853,2.410226385636222,7
123,288.0,0.0,288,288,2.341463414634146,32,32,32,498.0,0.0,498,498,4.048780487804878,2.4099883855981417,7
124,320.0,0.0,320,320,2.5806451612903225,32,32,32,502.0,0.0,502,502,4.048387096774194,2.4097542242703534,7
125,320.0,0.0,320,320,2.56,32,32,32,506.0,0.0,506,506,4.048,2.4095238095238094,7
126,288.0,0.0,288,288,2.2857142857142856,32,32,32,510.0,0.0,510,510,4.0476190476190474,2.4092970521541948,7
127,288.0,0.0,288,288,2.267716535433071,32,32,32,514.0,0.0,514,514,4.047244094488189,2.409073865766779,7
128,288.0,0.0,288,288,2.25,32,32,32,518.0,0.0,518,518,4.046875,2.4088541666666665,7
129,320.0,0.0,320,320,2.4806201550387597,32,32,32,522.0,0.0,522,522,4.046511627906977,2.4086378737541527,7
130,320.0,0.0,320,320,2.4615384615384617,32,32,32,526.0,0.0,526,526,4.046153846153846,2.4084249084249083,7
131,320.0,0.0,320,320,2.4427480916030535,32,32,32,530.0,0.0,530,530,4.0458015267175576,2.4082151944747365,7
132,320.0,0.0,320,320,2.4242424242424243,32,32,32,534.0,0.0,534,534,4.045454545454546,2.4080086580086584,7
133,320.0,0.0,320,320,2.406015037593985,32,32,32,538.0,0.0,538,538,4.045112781954887,2.4078052273540993,7
134,320.0,0.0,320,320,2.388059701492537,32,32,32,542.0,0.0,542,542,4.044776119402985,2.407604832977967,7
135,320.0,0.0,320,320,2.3703703703703702,32,32,32,546.0,0.0,546,546,4.044444444444444,2.4074074074074074,7
